Time(s),StartByte(2),PayloadSize(#ofBytes),Command,Payload2,Payload3,Payload4,Payload5,CRCByte1,CRCByte2,EndByte(3)
45.377321,2,5,6,0,0,0,0,205,133,3,
45.471462,2,5,6,0,0,0,0,205,133,3,
45.563665,2,5,6,0,0,0,0,205,133,3,
45.661072,2,5,6,0,0,0,0,205,133,3,
45.759298,2,5,6,0,0,0,0,205,133,3,
45.875431,2,5,6,0,0,0,0,205,133,3,
45.969271,2,5,6,0,0,0,0,205,133,3,
46.058983,2,5,6,0,0,0,0,205,133,3,
46.173487,2,5,6,0,0,0,0,205,133,3,
46.265411,2,5,6,0,0,0,0,205,133,3,
46.361765,2,5,6,0,0,0,0,205,133,3,
46.463772,2,5,6,0,0,0,0,205,133,3,
46.558076,2,5,6,0,0,0,0,205,133,3,
46.670897,2,5,6,0,0,0,0,205,133,3,
46.765258,2,5,6,0,0,0,0,205,133,3,
46.875479,2,5,6,0,0,0,0,205,133,3,
46.969282,2,5,6,0,0,0,0,205,133,3,
47.063890,2,5,6,0,0,0,0,205,133,3,
47.175495,2,5,6,0,0,0,0,205,133,3,
47.267627,2,5,6,0,0,0,0,205,133,3,
47.362289,2,5,6,0,0,0,0,205,133,3,
47.468382,2,5,6,0,0,0,0,205,133,3,
47.564811,2,5,6,0,0,0,0,205,133,3,
47.659270,2,5,6,0,0,0,0,205,133,3,
47.774293,2,5,6,0,0,0,0,205,133,3,
47.869116,2,5,6,0,0,0,0,205,133,3,
47.963547,2,5,6,0,0,0,0,205,133,3,
48.057483,2,5,6,0,0,0,0,205,133,3,
48.170593,2,5,6,0,0,0,0,205,133,3,
48.262758,2,5,6,0,0,0,0,205,133,3,
48.375693,2,5,6,0,0,0,0,205,133,3,
48.460453,2,5,6,0,0,0,0,205,133,3,
48.574152,2,5,6,0,0,0,0,205,133,3,
48.667465,2,5,6,0,0,0,0,205,133,3,
48.762880,2,5,6,0,0,0,0,205,133,3,
48.876230,2,5,6,0,0,0,0,205,133,3,
48.974797,2,5,6,0,0,0,0,205,133,3,
49.068905,2,5,6,0,0,0,0,205,133,3,
49.162494,2,5,6,0,0,0,0,205,133,3,
49.257607,2,5,6,0,0,0,0,205,133,3,
49.371496,2,5,6,0,0,0,0,205,133,3,
49.464698,2,5,6,0,0,0,0,205,133,3,
49.559363,2,5,6,0,0,0,0,205,133,3,
49.674802,2,5,6,0,0,0,0,205,133,3,
49.768612,2,5,6,0,0,0,0,205,133,3,
49.863950,2,5,6,0,0,0,0,205,133,3,
49.956994,2,5,6,0,0,0,0,205,133,3,
50.072010,2,5,6,0,0,0,0,205,133,3,
50.168042,2,5,6,0,0,0,0,205,133,3,
50.261161,2,5,6,0,0,0,0,205,133,3,
50.375186,2,5,6,0,0,0,0,205,133,3,
50.467062,2,5,6,0,0,0,0,205,133,3,
50.560757,2,5,6,0,0,0,0,205,133,3,
50.676733,2,5,6,0,0,0,0,205,133,3,
